category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Output Shape,self-awareness-general-ai,token inflation,234,107,45.73,1.2436,1.5656,19367.0,8.660658784527011e-25,5.923890608616474e-22,3.77317873160285e-24,True,True,0.7943,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,self-awareness-good-text-model,factual reversal,289,96,33.22,1.1384,1.8224,23184.0,1.0212644267690432e-22,6.985448679100256e-20,4.061307371569916e-22,True,True,0.6247,factual_reversal,0.7655042936652103,high,False,primary
Behavioral Resistance,self-awareness-good-text-model,steering asymmetry,289,227,78.55,2.1038,1.56,39952.0,3.0818442327691943e-46,2.107981455214129e-43,3.0999727282560716e-45,True,True,1.3486,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,self-awareness-good-text-model,inverse logit polarity,289,106,36.68,1.3356,2.087,25069.0,6.885511662807928e-25,4.709689977360624e-22,3.0385096628133052e-24,True,True,0.64,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,self-awareness-good-text-model,token inflation,289,82,28.37,0.7197,1.2968,20377.0,9.223558692565936e-20,6.3089141457151e-17,3.3737508800615508e-19,True,True,0.555,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,self-awareness-web-gpt,factual drift,299,187,62.54,2.4348,1.9844,38522.0,8.32322951314092e-41,5.69308898698839e-38,6.859143357817336e-40,True,True,1.227,factual_drift,0.6891420770982466,high,False,primary
Factual Integrity,self-awareness-web-gpt,hallucinated specificity,299,209,69.9,3.1773,2.1933,40755.0,4.859106050167136e-45,3.323628538314322e-42,4.681166955372283e-44,True,True,1.4486,hallucinated_specificity,0.6650081042099265,high,False,primary
Factual Integrity,self-awareness-web-gpt,factual reversal,299,259,86.62,4.2007,1.7184,44030.0,9.342332428812295e-56,6.390155381307611e-53,1.3312823711057524e-54,True,True,2.4445,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,self-awareness-web-gpt,label content contradiction,299,51,17.06,0.7659,1.7278,13974.0,4.85631832682941e-13,3.3217217355513165e-10,1.361361367029228e-12,True,True,0.4433,label_content_contradiction,0.6771864173927666,high,False,primary
Logical Coherence,self-awareness-web-gpt,repetition looping,299,276,92.31,4.4013,1.4116,44574.0,1.1686912428757524e-57,7.993848101270147e-55,1.9497190490902796e-56,True,True,3.118,repetition_looping,0.8400658259508764,high,False,primary
Behavioral Resistance,self-awareness-web-gpt,steering asymmetry,299,294,98.33,4.3144,1.0751,44835.0,6.783605232167809e-55,4.639985978802781e-52,9.279971957605561e-54,True,True,4.013,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,self-awareness-web-gpt,token inflation,299,297,99.33,4.8194,0.6509,44847.0,3.3223081557356774e-62,2.2724587785232034e-59,6.683702289774127e-61,True,True,7.4042,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,subscribes-to-Christianity,steering asymmetry,369,126,34.15,0.7724,1.2168,38619.0,3.1648948372277145e-29,2.1647880686637572e-26,1.652509976079204e-28,True,True,0.6348,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,subscribes-to-Christianity,inverse logit polarity,369,171,46.34,2.1653,2.45,48564.0,4.0036226342218737e-39,2.738477881807762e-36,2.88260829663975e-38,True,True,0.8838,inverse_logit_polarity,0.8696360174342648,high,True,primary
